_id,isActive,category ,name,price,display,purchase,unitWeight,image
1279,true,5002,סורבט פסיפלורה,,Units,Units,,surbetpasiflora
1280,true,5002,סורבט קיווי,,Units,Units,,surbetkiwi
1281,true,5002,סורבט אוכמניות,,Units,Units,,surbetuchmaniot
1282,true,5002,סורבט תפוח ג'ינג'ר,,Units,Units,,surbettapuchginger
1283,true,5002,סורבט כסיס,,Units,Units,,surbetcasis
1284,true,5002,סורבט אשכולית קמפרי,,Units,Units,,surbeteshkoliotkampari
1285,true,5002,סורבט קוקוס,,Units,Units,,surbetkokos
1286,true,5002,סורבט מנגו,,Units,Units,,surbetmango
1287,true,6001,תפוז סחוט טבעי  5 ליטר ,37,Units,Units,,mitztivei
1288,true,6001,לימונדה טבעית 5 ליטר ,37,Units,Units,,
1289,true,6001,אשכולית אדומה סחוטה 5 ליטר ,37,Units,Units,,
1290,true,6001,תפוח עץ סחוט 2 ליטר ,27,Units,Units,,
1291,true,6001,"קוביות קרח 5 ק""ג ",20,Units,Units,,
1292,true,6002,"יין ירדן הר חרמון 750 מ""ל ",42,Units,Units,,
1293,true,6002,לוונבראו - עדינה 5.2% חבית 5 ליטר ,139,Units,Units,,
1294,true,6002,ספטן - לאגר זהובה 5.2% חבית 5 ליטר ,149,Units,Units,,
1295,true,6002,פרנסיס קאנר 5% חבית קטנה 5 ליטר ,159,Units,Units,,
1296,true,7001,סיר פוייקה - 14 ליטר,50,Units,Units,,
1297,true,7001,"גרילר אסאדו גדול 40*100 ס""מ  רשת גריל נעה ",150,Units,Units,,
1298,true,7001,גרילר נקניקיות מסתובבות ,115,Units,Units,,
1299,true,7002,"פחמים מעץ הקסיה מאפריקה - 5 ק""ג ",30,Units,Units,,pecmim
1300,true,7002,מדליק פחמים - חומר בערה מוצק 270 גר',13.9,Units,Units,,

